,0,1,2,3,4,5
103,3.942052259538562e-99,1.0,2.121926763909111e-300,1.4867247586272053e-182,1.8429964220750784e-102,4.838179406456624e-156
104,1.6194865072341424e-105,1.0,2.6909528943839314e-82,2.145732270962811e-98,1.4217164993235438e-114,2.461983672495196e-59
105,6.040939479049955e-71,0.0,0.0,0.9999995985057921,4.0149420783043755e-07,5.348e-320
106,5.945061837873926e-113,0.0,0.0,0.9999999999998992,1.0075871433650201e-13,0.0
107,1.1799574224263624e-119,1.0,8.790703915839354e-88,2.0789940422678684e-107,4.579360449473879e-121,4.253763350589252e-72
108,1.0742932228322475e-65,0.00015609426520651011,2.2855835469833548e-17,2.7513499843001403e-239,8.200110604036723e-104,0.9998439057347934
109,1.3332461931298216e-80,1.0,1.0149815136446234e-39,7.836726877329323e-105,3.39412084741365e-103,9.81140563830468e-44
110,2.855002411020984e-48,5.063217454596222e-139,1.53028991183063e-22,7.798543360552037e-38,1.070601862655401e-53,1.0
111,1.1212217653698178e-122,1.0,4.69757749008833e-90,9.986765199982587e-127,4.382000511930724e-127,3.3694050162795523e-77
112,2.3904094286806736e-55,1.0,0.0,7.973034972076851e-44,3.5054399402833956e-88,9.992747410058404e-34
113,6.693208137272097e-107,1.0,1.3391558923159915e-305,1.0595054508094278e-90,5.993511089340736e-104,8.023618814566838e-118
114,1.4455983593386896e-107,1.0,3.190454069404692e-85,4.033696064452273e-99,3.5439499534470775e-111,5.995323659760947e-60
115,1.1433901370823969e-105,1.0,1.3851151309392812e-69,6.576484882767503e-174,7.785827566931085e-114,3.890169276368314e-56
116,4.345382419716819e-88,1.0,2.0760027272711091e-50,1.4506180067953796e-68,4.813461063372464e-86,3.4835270078677835e-37
117,8.5446229177962745e-106,1.0,3.9435647414775736e-125,9.225541175589245e-100,6.629889700801963e-115,2.486330593826545e-63
118,9.38009237363005e-118,1.0,7.856800929552628e-88,5.926461200883922e-132,2.3000821492720546e-123,1.0122470826659448e-71
119,4.979453822013544e-119,1.0,3.6822579233003584e-92,1.5969367419015318e-106,2.8129932711055483e-120,1.2324526605632926e-72
120,8.82609974304098e-120,1.0,6.665773501047604e-88,1.7125281677378055e-107,3.587744596377081e-121,4.393945910885389e-72
121,6.488939003987574e-27,2.76256393478047e-62,2.51198582212814e-28,1.3809478576316264e-18,5.462664405500281e-26,1.0
122,3.0924951719147806e-33,0.0,9.137840601848635e-104,2.302136932525417e-12,3.794288485663746e-26,0.9999999999976978
123,2.970602053196157e-117,1.0,2.621131485792332e-142,2.2079408283234435e-113,4.11180427427239e-124,3.3728625717246663e-73
124,6.849322611190803e-120,1.0,5.194709601361479e-88,1.4228289645451067e-107,2.9044863516284173e-121,4.275740019765688e-72
125,7.276070845145823e-119,1.0,3.4971810705747465e-89,7.618751235218421e-185,5.84209328594875e-123,7.749318954337591e-78
126,2.503312616009908e-99,1.0,1.2411255635088072e-300,8.656201939970298e-183,1.1693884581019296e-102,3.2065725489571296e-156
127,1.6398623695085346e-113,0.0,0.0,0.9999999999999463,5.3841342651347025e-14,0.0
128,1.631124781384857e-117,1.0,5.625188185121687e-113,2.113708178891795e-184,1.384896558981027e-121,1.197103094816992e-73
129,2.984510937373736e-110,1.0,3.626952823040957e-77,4.709042359358657e-102,6.2861849568516975e-114,6.150224929885948e-61
130,1.9359810433838973e-113,1.0,2.0932606978079587e-82,1.4103400128564451e-105,3.823557734210922e-117,2.592152078222034e-62
131,3.480768088062906e-126,1.0,5.276084306703767e-98,4.439888518986957e-195,2.0048710885483286e-130,4.29407195141499e-83
132,3.929785247792336e-124,0.0,0.0,1.0,9.424045022202185e-23,0.0
133,3.4999545205210013e-66,0.0,0.0,0.9999999988265529,1.1734471047621413e-09,0.0
134,5.0973816968069004e-120,1.0,1.3959450253037298e-88,5.001434476626084e-108,3.656753958863956e-121,1.3140055034723809e-71
135,1.5887654810460727e-71,0.0,0.0,1.0,5.890523740808261e-40,0.0
136,8.006579589278222e-71,1.0,1.7496831018061285e-94,8.084142940098147e-61,2.3373466377635407e-80,7.658141310756417e-25
137,6.023954513216884e-120,1.0,4.566620893558416e-88,1.2883593275630526e-107,2.6114305376033804e-121,4.13820448051304e-72
138,2.365982380969944e-86,1.0,2.580134699995152e-136,4.696364466070954e-93,2.4492886508367261e-113,1.3997526002192065e-71
