unit,sex,age,icd10,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 
RT,M,TOTAL,E10-E14,LI	16.43 	15.35 	: 	5.38 	5.26 	: 	: 
RT,M,TOTAL,E10-E14,LT	10.91 	13.31 	13.33 	11.28 	13.28 	13.34 	18.3 p
RT,M,TOTAL,E10-E14,LU	17.4 	19.62 	19.36 	29.86 	25.18 	17.35 	26.63 p
RT,M,TOTAL,E10-E14,LV	22.28 	26.12 	25.12 	27.56 	29.66 	30.24 	29.47 p
RT,M,TOTAL,E10-E14,MT	18.55 	12.15 	36.53 	52.79 	61.36 	42.09 	44.97 p
RT,M,TOTAL,E10-E14,NL	22.71 	23.71 	23.55 	20.98 	21.95 	22.01 	21 p
RT,M,TOTAL,E10-E14,NO	20.97 	21.58 	19.77 	17.44 	17.96 	17.69 	15.74 p
RT,M,TOTAL,E10-E14,PL	25.07 	26.54 	27.09 	24.85 	28.96 	29.32 	30.88 p
RT,M,TOTAL,E10-E14,PT	47.51 	52.77 	46.59 	44.56 	44.39 	43.88 	40.11 p
RT,M,TOTAL,E10-E14,RO	13.63 	14.36 	14.41 	14.02 	15.83 	16.31 	15.45 p
RT,M,TOTAL,E10-E14,RS	47.79 	45.5 	44.72 	38.56 	45.7 	46.13 	54.28 p
RT,M,TOTAL,E10-E14,SE	27.48 	26.17 	28.14 	26.06 	26.17 	27.22 	28.54 p
RT,M,TOTAL,E10-E14,SI	19.08 	18.48 	21.15 	17.52 	21.39 	18.31 	20.55 p
RT,M,TOTAL,E10-E14,SK	22.2 	27.95 	22.27 	24.51 	19.19 	21.4 	19.28 p
RT,M,TOTAL,E10-E14,TR	55.44 d	52.98 d	50.61 d	47.01 d	46.8 d	46.37 d	44.78 dp
RT,M,TOTAL,E10-E14,UK	12.18 d	11.97 d	11.93 	12.43 	13.14 	13.76 	14.42 p
RT,T,TOTAL,E10-E14,AT	38.34 	38.54 	36.11 	38.55 	41.73 	39 	36.89 p
RT,T,TOTAL,E10-E14,BE	15.76 	16.57 	15.32 	14.4 	13.74 	12.9 	13.52 p
RT,T,TOTAL,E10-E14,BG	22.78 	24.2 	19.68 	20.89 	25.14 	22.63 	21.21 p
RT,T,TOTAL,E10-E14,CH	17.18 	17.11 	17.92 	16 	16.9 	16.01 	15.58 p
RT,T,TOTAL,E10-E14,CY	73.54 	70.75 	69.7 	72.36 	65.48 	53.3 	59.63 p
RT,T,TOTAL,E10-E14,CZ	29.15 	26.92 	45.1 	41.8 	43.47 	43.26 	42.08 p
RT,T,TOTAL,E10-E14,DE	27.75 d	27.69 d	28.7 	26.3 	27.66 	25.48 	27.22 p
RT,T,TOTAL,E10-E14,DK	29.43 	27.69 	27.26 	26.23 	26.69 	27.31 	25.78 p
RT,T,TOTAL,E10-E14,EE	13.51 	10.25 	11.86 	12 	10.67 	14.21 	15.11 p
RT,T,TOTAL,E10-E14,EL	10.22 	10.02 	11.92 	13.86 	14.64 	14.18 	16.77 p
RT,T,TOTAL,E10-E14,ES	22.91 	22.12 	20.27 	20.18 	20.79 	18.6 	19.2 p
RT,T,TOTAL,E10-E14,EU27_2020	25.14 	25.28 	24.72 	23.49 	24.89 	23.62 	: 
RT,T,TOTAL,E10-E14,EU28	23.02 d	23.06 d	22.8 d	21.97 	23.23 	22.16 	: 
RT,T,TOTAL,E10-E14,FI	9.5 	9.53 	9.12 	9.24 	8.87 	9.66 	10.03 p
RT,T,TOTAL,E10-E14,FR	18.19 	18.19 	17.76 	17.04 	17.75 	16.73 	: 
RT,T,TOTAL,E10-E14,HR	31.67 	34.84 d	32.26 	34.52 	42.38 	47.62 	57.92 p
RT,T,TOTAL,E10-E14,HU	32.34 d	32.79 d	29.28 	29.1 	30.89 	30.64 	34.09 p
RT,T,TOTAL,E10-E14,IE	17.81 	19.93 	20.78 	17.27 	17.9 	17.35 	17.93 p
RT,T,TOTAL,E10-E14,IS	9.26 	10.54 	13.85 	12.78 	10.1 	13.06 	15.05 p
RT,T,TOTAL,E10-E14,IT	32.31 	32.03 	30.3 	28.45 	30.72 	28.76 	29.9 p
RT,T,TOTAL,E10-E14,LI	11.46 	10.86 	: 	6.56 	2.65 	4.52 	: 
RT,T,TOTAL,E10-E14,LT	9.67 	11.33 	10.87 	9.69 	11.02 	10.61 	14.45 p
RT,T,TOTAL,E10-E14,LU	14.37 	15.14 	20.71 	22.79 	20.22 	14.01 	19.84 p
RT,T,TOTAL,E10-E14,LV	25.56 	24.71 	24.59 	26.31 	24.78 	27.97 	28.95 p
RT,T,TOTAL,E10-E14,MT	14.02 	11.05 	30.36 	45.5 	46.07 	44.57 	45.93 p
RT,T,TOTAL,E10-E14,NL	20.69 	20.51 	20.9 	19.33 	19.52 	19.23 	18.38 p
RT,T,TOTAL,E10-E14,NO	17.08 	17.43 	15.87 	14.08 	13.76 	14.17 	13.55 p
RT,T,TOTAL,E10-E14,PL	23.55 	24.57 	24.93 	22.33 	26.68 	26.18 	27.38 p
RT,T,TOTAL,E10-E14,PT	44.08 	46.85 	42.74 	39.53 	39.79 	38.69 	36.65 p
RT,T,TOTAL,E10-E14,RO	12.58 	13.05 	12.52 	12.58 	13.99 	14.8 	14.09 p
RT,T,TOTAL,E10-E14,RS	48.94 	46.15 	42.79 	37.91 	44.68 	46.97 	52 p
RT,T,TOTAL,E10-E14,SE	21.13 	20.98 	20.92 	19.58 	20.68 	20.79 	22.38 p
RT,T,TOTAL,E10-E14,SI	16.11 	18.25 	18.01 	15.36 	16.84 	15.21 	16.59 p
RT,T,TOTAL,E10-E14,SK	21.9 	25.65 	20.54 	23.06 	18.75 	18.7 	17.72 p
RT,T,TOTAL,E10-E14,TR	59.73 d	56.14 d	54.04 d	49.42 d	48.89 d	49.12 d	46.3 dp
RT,T,TOTAL,E10-E14,UK	10.39 d	10.26 d	10.17 	10.78 	10.94 	11.2 	11.95 p
